id,name,type,sex,age,education
LEI,"@Leisure Holding B.V., Niederlande",2,NA,NA,NA
CBMF,"Car & Boat Media SAS, Frankreich",2,NA,NA,NA
CTI,"Coral-Tell Ltd., Israel",2,NA,NA,NA
ECM,Elvaston Capital Management GmbH,2,NA,NA,NA
IMMO,"Immoweb SA, Belgien",2,NA,NA,NA
IMMOD,Immowelt AG,2,NA,NA,NA
MAG,"Magnolia AG, Schweiz",2,NA,NA,NA
MeSt,meinestadt.de GmbH,2,NA,NA,NA
Heine,Oliver Heine,1,1,57,2
HP,Heine & Partner,2,NA,NA,NA
TEX,TEX’S BAR-B-Q,2,NA,NA,NA
LAC,Lange Assets & Consulting GmbH,2,NA,NA,NA
DC,Dahler & Company Group,2,NA,NA,NA
HVA,HVA Grundbesitz KG,2,NA,NA,NA
Mews,Mews GmbH & Co. KG seit 2009,2,NA,NA,NA
UZH,Universität zu Hamburg,2,NA,NA,NA
BZ,Braunschweiger Zeitung,2,NA,NA,NA
YA,YooApplications AG,2,NA,NA,NA
Friede Springer,Friede Springer,1,2,76,5
FSS,Friede Springer Stiftung,2,NA,NA,NA
AxSp,Axel Springer,1,1,NA,5
ASG,Axel Springer Gesellschaft für Publizistik GmbH & Co,2,NA,NA,NA
FSHS,Friede Springer Herz Stiftung,2,NA,NA,NA
ASS,Axel Springer Stiftung,2,NA,NA,NA
BBA,Förderverein der Berlin-Brandenburgischen Akademie der Wissenschaften,2,NA,NA,NA
DHB,Deutsches Herzzentrum Berlin,2,NA,NA,NA
FL,Freundeskreis Luther,2,NA,NA,NA
DG,Deutsche Gesellschaft,2,NA,NA,NA
FFDSO,Freunde und Förderer der Deutschen Staatsoper,2,NA,NA,NA
FPSG,Freunde der Preußischen Schlösser und Gärten,2,NA,NA,NA
Bayer,Jan Bayer,1,1,49,1
SZ,Süddeutsche Zeitung ,2,NA,NA,NA
VSM,Volksstimme Magdeburg,2,NA,NA,NA
RZH,Regionalzeitungsgruppe Hamburg,2,NA,NA,NA
BMP,Berliner Morgenpost,2,NA,NA,NA
HAB,Hamburger Abendbaltt,2,NA,NA,NA
MIG,Media Impact Gmbh & Co.KG ,2,NA,NA,NA
ONET,"ONET S.A. , Polen",2,NA,NA,NA
Caspar,Stephanie Caspar,1,2,46,3
MKS,McKinsey,2,NA,NA,NA
EBAY,EBAY,2,NA,NA,NA
IMS,Immobilienscout24,2,NA,NA,NA
MPO,Mirapodo,2,NA,NA,NA
VVIM,Visoon Video Impact Management GmbH,2,NA,NA,NA
Karp,Alexander Karp,1,1,52,3
PT,Palantir Technologies,2,NA,NA,NA
EC,Economist,2,NA,NA,NA
BK,Bilderberg-Konferenz,2,NA,NA,NA
Knobloch,Iris Knobloch,1,2,NA,2
WB,Warner Bros. Entertainment (Frankreich),2,NA,NA,NA
TW,Time Warners,2,NA,NA,NA
AH,AccorHotels,2,NA,NA,NA
LAZ,Lazard,2,NA,NA,NA
AHP,American Hospital of Paris,2,NA,NA,NA
